Team,Gls_median,Gls_mean,Gls_std,Ast_median,Ast_mean,Ast_std,G+A_median,G+A_mean,G+A_std,xG_median,xG_mean,xG_std,npxG_median,npxG_mean,npxG_std,xAG_median,xAG_mean,xAG_std,PrgC_median,PrgC_mean,PrgC_std,PrgP_median,PrgP_mean,PrgP_std,Cluster
all,1.0,1.9857433808553973,3.481408407136044,1.0,1.474541751527495,2.2022399412796823,2.0,3.460285132382892,5.08538834430677,0.9,2.005702647657841,3.0492300910452514,0.9,1.885539714867617,2.7099315948801577,0.8,1.484114052953157,1.8477653848845697,14.0,25.828920570264767,30.202298511256817,37.0,50.94908350305499,49.34215664751296,2
Chelsea,1.0,2.1923076923076925,3.4758507536340595,1.0,1.6923076923076923,2.2048896710580466,1.5,3.8846153846153846,5.494192738351454,0.75,2.4461538461538463,3.9643643393846406,0.75,2.326923076923077,3.5740797632182404,1.05,1.876923076923077,2.3167749467408685,11.0,30.115384615384617,38.78590148296355,33.0,56.53846153846154,61.782347491322,2
Bournemouth,1.0,2.260869565217391,3.493076155434917,1.0,1.6521739130434785,1.991086858344044,2.0,3.9130434782608696,5.008293517014471,1.1,2.639130434782609,3.5000959896492683,1.1,2.4000000000000004,3.0844183185223697,1.1,1.7739130434782604,1.8273720304167425,19.0,29.26086956521739,34.02167409608756,41.0,57.43478260869565,51.58384709027053,2
Brighton,1.0,1.9285714285714288,2.9555794246559737,1.0,1.2857142857142858,1.5836465855538944,2.0,3.2142857142857144,4.383108510137549,0.75,1.8821428571428571,2.6435180783735586,0.75,1.742857142857143,2.3460650383186663,0.95,1.2928571428571427,1.3965376687785618,16.5,25.857142857142858,29.882131767024237,38.5,48.92857142857143,49.26416214610446,2
Wolves,1.0,2.1739130434782608,3.938760463914359,1.0,1.6956521739130437,2.2245486285515352,2.0,3.869565217391304,5.387733102538554,0.8,1.752173913043478,2.477144537423793,0.8,1.752173913043478,2.477144537423793,0.9,1.395652173913044,1.7800608418788704,12.0,23.130434782608692,27.19342224580671,30.0,45.0,40.33383420675726,2
Nott'ham Forest,1.0,2.363636363636364,4.169566090767885,1.0,1.7272727272727273,2.47235800655045,1.0,4.090909090909091,5.706379812347805,1.2999999999999998,1.8454545454545448,2.4839920390807317,1.2999999999999998,1.7409090909090907,2.093677350616577,1.1,1.3454545454545457,1.3803820288074409,12.5,24.681818181818183,32.424838162589644,34.0,42.54545454545455,40.25599898829309,2
Brentford,0.0,2.6666666666666665,5.11207720338155,1.0,1.761904761904762,2.447544931247676,2.0,4.428571428571429,6.592203186882428,0.8,2.419047619047619,3.832834336051983,0.8,2.2285714285714286,3.490006139986412,1.2,1.7380952380952377,2.198971621116605,12.0,24.52380952380953,31.18592478606181,51.0,55.90476190476191,52.11516551053519,2
Manchester City,1.0,2.6,4.406434688800761,0.0,1.88,2.5053276565484737,3.0,4.48,5.268775948927796,1.2,2.4960000000000004,4.170079935285014,1.2,2.384,3.728122852053027,1.5,1.992,2.216588971069437,34.0,40.56,43.47995706836274,62.0,68.16,58.15401963751087,0
Everton,1.0,1.4090909090909092,1.9678146183760228,1.0,0.9090909090909092,1.1087999050492516,1.5,2.3181818181818183,2.1466776908108742,1.1,1.6727272727272726,1.9523323824599468,1.1,1.6,1.841324574993825,1.05,1.2818181818181815,1.1138249685682489,12.0,19.727272727272727,19.988524846549478,36.0,41.31818181818182,34.32392801868741,1
Liverpool,1.0,3.761904761904762,6.503112807761847,2.0,2.8095238095238093,3.9701265423037535,3.0,6.571428571428571,10.26436275942851,1.7,3.628571428571428,5.487544337601553,1.7,3.2952380952380955,4.272759786189272,1.2,2.628571428571429,3.120599759203807,23.0,35.19047619047619,36.3972788098493,67.0,81.38095238095238,67.2699607480755,0
