Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Aaron Cresswell,eng ENG,DF,West Ham,35-136,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
Aaron Ramsdale,eng ENG,GK,Southampton,26-351,1998,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-155,1997,32,31,"2,794",31.0,2,2,4,2,0,0,1,0,1.2,1.2,2.9,4.0,98,125,139,0.06,0.06,0.13,0.06,0.13,0.04,0.09,0.13,0.04,0.13,Matches
Abdoulaye Doucouré,ml MLI,MF,Everton,32-119,1993,30,29,"2,425",26.9,3,1,4,3,0,0,5,1,3.9,3.9,2.3,6.2,40,78,91,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches
Abdukodir Khusanov,uz UZB,DF,Manchester City,21-060,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-053,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-079,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Adam Lallana,eng ENG,MF,Southampton,36-355,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
Adam Smith,eng ENG,DF,Bournemouth,34-001,1991,22,17,"1,409",15.7,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,12,40,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Adam Webster,eng ENG,DF,Brighton,30-116,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,20-332,2004,19,15,"1,258",14.0,0,2,2,0,0,0,2,0,0.3,0.3,3.0,3.3,14,105,10,0.00,0.14,0.14,0.00,0.14,0.02,0.21,0.24,0.02,0.24,Matches
Adama Traoré,es ESP,"FW,MF",Fulham,29-095,1996,32,16,"1,568",17.4,2,6,8,2,0,0,2,0,3.8,3.8,4.7,8.5,87,61,143,0.11,0.34,0.46,0.11,0.46,0.22,0.27,0.49,0.22,0.49,Matches
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-342,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-303,2004,33,22,"2,056",22.8,5,1,6,5,0,0,2,0,7.0,7.0,3.6,10.6,134,54,274,0.22,0.04,0.26,0.22,0.26,0.31,0.16,0.46,0.31,0.46,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,28-362,1996,34,32,"2,721",30.2,9,6,15,9,0,0,1,0,4.5,4.5,6.5,11.0,132,196,221,0.30,0.20,0.50,0.30,0.50,0.15,0.22,0.36,0.15,0.36,Matches
