Team,Gls_median,Gls_mean,Gls_std,Ast_median,Ast_mean,Ast_std,G+A_median,G+A_mean,G+A_std,xG_median,xG_mean,xG_std,npxG_median,npxG_mean,npxG_std,xAG_median,xAG_mean,xAG_std,PrgC_median,PrgC_mean,PrgC_std,PrgP_median,PrgP_mean,PrgP_std
all,1.0,2.0303643724696356,3.548717602392066,1.0,1.508097165991903,2.219893283318498,2.0,3.5384615384615383,5.1600684836661035,0.9,2.049392712550607,3.124559138984197,0.9,1.9248987854251012,2.7703895585575777,0.9,1.5161943319838056,1.8906144001431544,15.0,26.394736842105264,31.06154416630822,37.5,52.09109311740891,50.532155946524654
Chelsea,1.0,2.269230769230769,3.650289767212376,1.0,1.7307692307692308,2.254909174360552,1.5,4.0,5.720139858430037,0.75,2.5653846153846156,4.20950755387775,0.75,2.411538461538462,3.7035471562357,1.05,1.9653846153846155,2.4762782247061508,11.0,31.192307692307693,41.098923811476354,34.5,57.53846153846154,63.00300359140397
Bournemouth,1.0,2.347826086956522,3.587968476249654,1.0,1.6956521739130435,2.0545909260769615,2.0,4.043478260869565,5.147623113186804,1.1,2.682608695652174,3.577156333015101,1.1,2.4434782608695658,3.161390098007308,1.1,1.808695652173913,1.874206024252369,19.0,29.869565217391305,34.65322279099553,43.0,58.47826086956522,52.052307227893714
Brighton,1.0,1.9642857142857142,2.9997795333452837,1.0,1.3214285714285714,1.6113847605587086,2.0,3.2857142857142856,4.437693285156343,0.75,1.910714285714286,2.643558108099663,0.75,1.7714285714285718,2.3478685594570177,1.0,1.3214285714285714,1.3985063839039513,18.5,26.357142857142858,30.01384160401144,40.0,49.785714285714285,50.207980141022105
Wolves,1.0,2.1739130434782608,3.938760463914359,1.0,1.6956521739130435,2.2245486285515352,2.0,3.869565217391304,5.387733102538554,0.8,1.7608695652173914,2.4798715381748715,0.8,1.7608695652173914,2.4798715381748715,0.9,1.4000000000000004,1.7794278958034901,12.0,23.565217391304348,27.78951091681981,31.0,45.91304347826087,41.09845500688036
Nott'ham Forest,1.0,2.409090909090909,4.159430946760121,1.0,1.7727272727272727,2.4867614851414044,1.5,4.181818181818182,5.679003631895497,1.4,1.9181818181818182,2.604873886653242,1.4,1.8090909090909089,2.193477146300365,1.1,1.4090909090909092,1.4319181577134954,13.0,26.136363636363637,33.867100842565776,35.0,45.95454545454545,43.79223378933462
Brentford,0.0,2.9047619047619047,5.539898572219188,2.0,1.9523809523809523,2.438774087040259,2.0,4.857142857142857,6.915820372780906,0.8,2.6095238095238096,4.196773136816519,0.8,2.423809523809524,3.891388539057076,1.2,1.8952380952380952,2.2310258157350376,12.0,25.857142857142858,32.37635821751068,52.0,58.285714285714285,54.494167446748705
Manchester City,1.0,2.64,4.414748010928823,0.0,1.92,2.564501251055781,3.0,4.56,5.346961754117941,1.3,2.5200000000000005,4.175424130153327,1.3,2.408,3.734849394553949,1.5,2.028,2.249355463238303,35.0,41.64,45.442161040161814,64.0,70.28,60.42179518462964
Everton,1.0,1.5,2.132514723892674,1.0,1.0,1.1126972805283737,1.5,2.5,2.3042403975114683,1.1,1.7,2.018957769788778,1.1,1.6272727272727272,1.9129089835171926,1.05,1.2999999999999998,1.1079797144438375,12.0,20.318181818181817,20.501768480365563,40.0,43.5,35.400766739073404
Liverpool,1.0,3.8095238095238093,6.493219907095766,2.0,2.857142857142857,3.9910614413425693,4.0,6.666666666666667,10.26320287889377,1.7,3.6761904761904765,5.513973590969108,1.7,3.342857142857143,4.302391361623373,1.2,2.6761904761904765,3.184635734570715,24.0,35.666666666666664,36.51620644773131,71.0,83.95238095238095,68.39990949590226
